area_sqft,bedrooms,bathrooms,property_age,parking_slots,floor_number,near_metro,balconies,location,furnishing,quality_grade,price_inr,area_per_room,luxury_score,age_bucket
980.0,2,3,23,1,3,1,1,Family Zone,Unfurnished,Standard,3388973.0,196.0,3,Old
1362.0,2,2,14,1,17,0,0,Budget Zone,Semi-Furnished,Premium,6200448.0,340.5,1,Mature
2407.0,5,5,27,1,23,1,0,Family Zone,Fully Furnished,Good,12698785.0,240.7,2,Old
792.0,2,1,9,1,8,0,1,Budget Zone,Semi-Furnished,Standard,3663883.0,264.0,2,Recent
842.0,2,3,2,1,17,1,0,IT Hub,Fully Furnished,Premium,9596101.0,168.4,2,New
773.0,3,4,31,1,22,0,2,Family Zone,Fully Furnished,Good,4215055.0,110.42857142857143,3,Old
2348.0,4,4,0,1,11,1,0,Developing Zone,Unfurnished,Standard,12059641.0,293.5,2,New
1210.0,2,2,9,1,11,1,0,Developing Zone,Fully Furnished,Good,6333268.0,302.5,2,Recent
1437.0,3,4,4,1,5,0,2,Family Zone,Semi-Furnished,Standard,9330409.0,205.28571428571428,3,Recent
1241.0,2,3,8,0,11,0,3,Developing Zone,Semi-Furnished,Premium,7555892.0,248.2,3,Recent
959.0,2,2,13,1,21,0,1,Budget Zone,Unfurnished,Good,4996041.0,239.75,2,Mature
1328.0,4,5,4,2,16,1,1,Budget Zone,Fully Furnished,Standard,9635756.0,147.55555555555554,4,Recent
2728.0,5,5,16,1,5,1,2,Premium Central,Unfurnished,Standard,19338884.0,272.8,4,Mature
2174.0,3,3,32,2,13,0,0,Premium Central,Unfurnished,Good,13305684.0,362.3333333333333,2,Old
1006.0,1,1,4,0,17,0,1,IT Hub,Semi-Furnished,Standard,6182235.0,503.0,1,Recent
1787.0,5,5,32,1,2,1,0,Developing Zone,Unfurnished,Premium,9044232.0,178.7,2,Old
1018.0,2,2,14,1,19,0,1,Premium Central,Unfurnished,Standard,6426480.0,254.5,2,Mature
526.0,1,1,20,1,5,1,3,IT Hub,Semi-Furnished,Good,3873509.0,263.0,5,Mature
1980.0,4,4,15,1,8,0,2,IT Hub,Semi-Furnished,Good,13494299.0,247.5,3,Mature
2053.0,3,3,11,1,10,0,3,Family Zone,Fully Furnished,Good,12865132.0,342.1666666666667,4,Mature
1994.0,5,4,3,2,13,0,2,Developing Zone,Semi-Furnished,Standard,10838139.0,221.55555555555554,4,New
1206.0,2,2,20,1,22,1,1,Budget Zone,Semi-Furnished,Premium,5001760.0,301.5,3,Mature
1363.0,4,4,32,0,6,0,2,Premium Central,Semi-Furnished,Premium,10225608.0,170.375,2,Old
1840.0,4,5,18,1,7,0,2,Family Zone,Semi-Furnished,Standard,9099766.0,204.44444444444446,3,Mature
1654.0,4,4,20,1,10,1,1,Developing Zone,Semi-Furnished,Standard,8294707.0,206.75,3,Mature
1245.0,3,2,22,1,21,1,1,Developing Zone,Semi-Furnished,Luxury,8210042.0,249.0,3,Old
608.0,2,3,13,1,24,0,1,Family Zone,Fully Furnished,Good,3219979.0,121.6,2,Mature
1509.0,3,2,4,1,11,0,1,Budget Zone,Semi-Furnished,Standard,6965104.0,301.8,2,Recent
2011.0,4,5,17,1,17,1,1,IT Hub,Unfurnished,Standard,12712063.0,223.44444444444446,3,Mature
827.0,2,1,30,1,23,0,0,IT Hub,Semi-Furnished,Premium,5303325.0,275.6666666666667,1,Old
1782.0,3,2,10,1,21,1,1,IT Hub,Fully Furnished,Premium,13570037.0,356.4,3,Recent
1622.0,4,4,30,1,17,0,1,Family Zone,Unfurnished,Good,5655421.0,202.75,2,Old
1840.0,3,3,29,1,13,0,1,Family Zone,Semi-Furnished,Luxury,11744733.0,306.6666666666667,2,Old
1903.0,4,4,8,2,24,0,1,Family Zone,Fully Furnished,Good,12591632.0,237.875,3,Recent
1089.0,2,3,20,1,6,1,0,Family Zone,Semi-Furnished,Good,5604669.0,217.8,2,Mature
609.0,2,1,26,2,9,0,3,Budget Zone,Fully Furnished,Good,2755143.0,203.0,5,Old
1173.0,2,2,17,0,18,0,1,Developing Zone,Semi-Furnished,Good,5629702.0,293.25,1,Mature
1912.0,4,4,24,1,1,0,1,Budget Zone,Semi-Furnished,Standard,7442646.0,239.0,2,Old
1168.0,2,2,31,1,13,1,0,Family Zone,Semi-Furnished,Standard,4465105.0,292.0,2,Old
1089.0,1,2,21,1,21,0,2,Developing Zone,Fully Furnished,Good,6536773.0,363.0,3,Old
503.0,1,1,29,1,5,1,1,Budget Zone,Semi-Furnished,Premium,1800000.0,251.5,3,Old
2361.0,4,4,28,1,20,1,1,Budget Zone,Semi-Furnished,Standard,7735557.0,295.125,3,Old
1879.0,3,3,28,1,10,0,1,Family Zone,Semi-Furnished,Good,7315888.0,313.1666666666667,2,Old
1850.0,4,4,29,2,21,1,2,Budget Zone,Semi-Furnished,Good,7451835.0,231.25,5,Old
1953.0,4,4,7,1,16,1,3,Premium Central,Semi-Furnished,Good,17767377.0,244.125,5,Recent
1750.0,4,4,0,0,4,0,1,Family Zone,Semi-Furnished,Premium,13594022.0,218.75,1,New
1323.0,3,3,5,1,18,0,0,Developing Zone,Fully Furnished,Premium,9257731.0,220.5,1,Recent
1365.0,2,3,8,1,2,0,0,Family Zone,Semi-Furnished,Premium,8631374.0,273.0,1,Recent
1228.0,2,1,24,0,6,0,0,Budget Zone,Semi-Furnished,Standard,2874484.0,409.3333333333333,0,Old
2820.0,6,5,17,1,22,1,2,Premium Central,Semi-Furnished,Good,21719526.0,256.3636363636364,4,Mature
1739.0,3,4,16,1,22,1,3,Family Zone,Semi-Furnished,Good,9368573.0,248.42857142857142,5,Mature
1209.0,3,2,0,0,2,1,3,IT Hub,Semi-Furnished,Standard,8487447.0,241.8,4,New
1692.0,3,3,23,1,10,0,2,Budget Zone,Unfurnished,Standard,7021844.0,282.0,3,Old
924.0,2,2,12,1,3,0,0,Family Zone,Unfurnished,Standard,3400357.0,231.0,1,Mature
2232.0,4,5,26,1,7,0,3,Family Zone,Semi-Furnished,Good,11230206.0,248.0,4,Old
1106.0,3,4,3,1,24,1,1,Premium Central,Semi-Furnished,Good,10821290.0,158.0,3,New
1711.0,3,3,10,0,5,0,1,Family Zone,Semi-Furnished,Standard,8903372.0,285.1666666666667,1,Recent
2004.0,4,3,1,2,16,1,2,Family Zone,Unfurnished,Premium,13319312.0,286.2857142857143,5,New
1650.0,3,2,9,1,20,1,0,Developing Zone,Semi-Furnished,Luxury,10899268.0,330.0,2,Recent
1499.0,3,3,32,0,22,0,2,Developing Zone,Unfurnished,Standard,5052946.0,249.83333333333334,2,Old
1456.0,2,3,17,2,9,1,3,Family Zone,Fully Furnished,Luxury,13629331.0,291.2,6,Mature
1421.0,3,3,15,0,17,1,2,Family Zone,Fully Furnished,Standard,7945764.0,236.83333333333334,3,Mature
1150.0,4,4,9,1,12,1,2,Budget Zone,Unfurnished,Luxury,8548332.0,143.75,4,Recent
1216.0,3,4,9,1,3,0,1,IT Hub,Semi-Furnished,Luxury,12096211.0,173.71428571428572,2,Recent
2219.0,5,5,23,2,6,0,0,Premium Central,Unfurnished,Standard,14556035.0,221.9,2,Old
1394.0,3,3,34,2,18,1,2,Budget Zone,Unfurnished,Premium,5104662.0,232.33333333333334,5,Old
1041.0,1,1,26,1,17,0,1,Family Zone,Unfurnished,Luxury,6227088.0,520.5,2,Old
1182.0,2,3,25,1,13,1,2,Budget Zone,Unfurnished,Luxury,7888298.0,236.4,4,Old
2022.0,5,4,16,1,19,0,0,Family Zone,Semi-Furnished,Luxury,12941430.0,224.66666666666666,1,Mature
1801.0,3,3,3,1,17,1,1,Developing Zone,Fully Furnished,Good,11136886.0,300.1666666666667,3,New
1741.0,3,3,25,1,9,1,1,Family Zone,Unfurnished,Standard,6856110.0,290.1666666666667,3,Old
1316.0,3,3,28,0,8,0,2,IT Hub,Semi-Furnished,Premium,8133372.0,219.33333333333334,2,Old
1748.0,3,4,17,0,23,0,2,IT Hub,Semi-Furnished,Good,11995751.0,249.71428571428572,2,Mature
1115.0,2,3,3,0,24,1,3,Budget Zone,Fully Furnished,Good,6414845.0,223.0,4,New
1315.0,3,3,24,0,1,0,1,Premium Central,Semi-Furnished,Good,8626068.0,219.16666666666666,1,Old
1954.0,3,4,32,1,19,1,1,Developing Zone,Unfurnished,Good,8123064.0,279.14285714285717,3,Old
1905.0,3,3,7,2,4,1,0,Budget Zone,Semi-Furnished,Standard,8477916.0,317.5,3,Recent
939.0,2,2,5,1,21,0,1,Family Zone,Semi-Furnished,Premium,7600187.0,234.75,2,Recent
1005.0,3,4,25,1,15,1,1,Developing Zone,Fully Furnished,Standard,5749975.0,143.57142857142858,3,Old
1507.0,3,3,11,2,17,1,1,IT Hub,Semi-Furnished,Premium,12519352.0,251.16666666666666,4,Mature
2348.0,4,5,25,1,17,1,1,IT Hub,Semi-Furnished,Premium,14628183.0,260.8888888888889,3,Old
454.0,2,2,24,1,15,0,1,Developing Zone,Unfurnished,Good,1800000.0,113.5,2,Old
1595.0,3,2,9,2,7,0,1,Premium Central,Semi-Furnished,Good,13175570.0,319.0,3,Recent
734.0,2,1,1,1,20,0,2,Developing Zone,Fully Furnished,Good,5487473.0,244.66666666666666,3,New
1120.0,3,3,19,1,14,1,1,Family Zone,Semi-Furnished,Luxury,10462961.0,186.66666666666666,3,Mature
1260.0,3,3,14,2,14,1,1,Developing Zone,Semi-Furnished,Premium,10628059.0,210.0,4,Mature
1231.0,2,1,29,1,8,1,2,Premium Central,Fully Furnished,Good,10960537.0,410.3333333333333,4,Old
1172.0,3,3,12,1,1,0,2,Budget Zone,Fully Furnished,Standard,4852940.0,195.33333333333334,3,Mature
1454.0,2,2,8,2,14,1,2,Budget Zone,Semi-Furnished,Standard,8133212.0,363.5,5,Recent
1172.0,2,3,30,1,9,1,1,Family Zone,Semi-Furnished,Good,7091945.0,234.4,3,Old
690.0,2,3,25,2,16,1,1,Premium Central,Semi-Furnished,Luxury,8556359.0,138.0,4,Old
1856.0,4,4,21,0,9,0,2,Premium Central,Semi-Furnished,Premium,13812458.0,232.0,2,Old
1841.0,4,4,33,0,24,1,1,IT Hub,Semi-Furnished,Standard,10652752.0,230.125,2,Old
1888.0,4,5,27,1,17,0,1,Premium Central,Unfurnished,Premium,13729195.0,209.77777777777777,2,Old
649.0,2,2,30,0,11,0,3,Premium Central,Fully Furnished,Good,4642060.0,162.25,3,Old
1605.0,4,3,27,2,17,1,0,Family Zone,Fully Furnished,Premium,8690870.0,229.28571428571428,3,Old
1802.0,4,3,14,0,16,1,2,Developing Zone,Fully Furnished,Standard,9618688.0,257.42857142857144,3,Mature
914.0,3,2,2,1,15,0,2,IT Hub,Fully Furnished,Good,8007845.0,182.8,3,New
1455.0,3,3,21,0,14,1,0,Family Zone,Semi-Furnished,Luxury,9957621.0,242.5,1,Old
1390.0,4,4,26,2,23,1,2,Developing Zone,Fully Furnished,Good,8439602.0,173.75,5,Old
2408.0,5,4,34,1,8,0,1,Budget Zone,Fully Furnished,Premium,10084403.0,267.55555555555554,2,Old
2451.0,5,5,23,0,11,1,2,IT Hub,Semi-Furnished,Luxury,16932202.0,245.1,3,Old
585.0,2,2,19,0,7,0,2,Developing Zone,Semi-Furnished,Standard,2949940.0,146.25,2,Mature
2747.0,5,4,20,1,14,0,2,Premium Central,Unfurnished,Standard,18285089.0,305.22222222222223,3,Mature
974.0,2,2,4,2,24,0,0,Developing Zone,Semi-Furnished,Premium,6131122.0,243.5,2,Recent
1960.0,4,4,0,2,15,1,2,Budget Zone,Unfurnished,Good,11619260.0,245.0,5,New
1955.0,6,5,1,1,5,0,3,IT Hub,Unfurnished,Standard,12470415.0,177.72727272727272,4,New
932.0,2,2,31,1,23,0,1,Budget Zone,Semi-Furnished,Good,1800000.0,233.0,2,Old
1706.0,3,2,27,0,19,1,1,Budget Zone,Semi-Furnished,Premium,6215401.0,341.2,2,Old
1394.0,3,3,9,1,11,1,0,Family Zone,Unfurnished,Good,8972375.0,232.33333333333334,2,Recent
1738.0,3,3,14,1,4,1,2,IT Hub,Fully Furnished,Good,12373605.0,289.6666666666667,4,Mature
1570.0,4,3,16,1,10,1,0,Developing Zone,Fully Furnished,Premium,7919585.0,224.28571428571428,2,Mature
2072.0,4,5,8,1,20,0,1,Developing Zone,Unfurnished,Good,10512110.0,230.22222222222223,2,Recent
1489.0,3,4,14,2,14,0,3,IT Hub,Unfurnished,Premium,12467324.0,212.71428571428572,5,Mature
1363.0,2,2,12,0,5,1,3,Premium Central,Semi-Furnished,Good,10648702.0,340.75,4,Mature
2020.0,3,4,24,0,4,1,3,Family Zone,Fully Furnished,Luxury,12893151.0,288.57142857142856,4,Old
1752.0,2,2,26,0,24,0,1,Budget Zone,Fully Furnished,Premium,8133332.0,438.0,1,Old
1831.0,4,3,3,0,11,0,0,Budget Zone,Unfurnished,Standard,8007610.0,261.57142857142856,0,New
1104.0,4,5,16,0,17,0,1,Developing Zone,Fully Furnished,Premium,8226376.0,122.66666666666667,1,Mature
906.0,2,2,34,1,9,0,0,Budget Zone,Unfurnished,Good,1800000.0,226.5,1,Old
1155.0,1,1,30,0,3,1,2,Family Zone,Semi-Furnished,Standard,6003291.0,577.5,3,Old
1127.0,3,4,27,1,10,1,1,Budget Zone,Fully Furnished,Standard,5536150.0,161.0,3,Old
1859.0,3,3,25,2,17,0,1,Family Zone,Unfurnished,Premium,12305065.0,309.8333333333333,3,Old
1958.0,5,4,0,2,9,1,0,IT Hub,Unfurnished,Standard,13051059.0,217.55555555555554,3,New
1369.0,3,3,34,1,15,1,1,Family Zone,Semi-Furnished,Good,5267670.0,228.16666666666666,3,Old
2194.0,4,4,25,0,11,0,2,Developing Zone,Semi-Furnished,Standard,8956297.0,274.25,2,Old
2162.0,4,4,31,0,9,0,2,IT Hub,Fully Furnished,Good,12203293.0,270.25,2,Old
1577.0,4,4,31,0,7,1,0,IT Hub,Fully Furnished,Good,10086186.0,197.125,1,Old
1023.0,2,1,8,2,7,0,0,IT Hub,Unfurnished,Good,8198948.0,341.0,2,Recent
2269.0,4,5,0,2,7,1,1,Budget Zone,Unfurnished,Good,12211765.0,252.11111111111111,4,New
1418.0,3,3,23,1,18,1,0,Budget Zone,Fully Furnished,Standard,5575623.0,236.33333333333334,2,Old
1516.0,2,1,16,1,9,1,3,Premium Central,Unfurnished,Good,12045624.0,505.3333333333333,5,Mature
1273.0,3,2,0,1,18,1,2,Developing Zone,Fully Furnished,Good,8980904.0,254.6,4,New
987.0,1,2,9,1,8,1,0,Developing Zone,Semi-Furnished,Premium,7039416.0,329.0,2,Recent
686.0,1,1,34,2,8,1,2,Family Zone,Unfurnished,Standard,3410365.0,343.0,5,Old
1779.0,4,3,12,0,23,0,1,Family Zone,Fully Furnished,Standard,10332216.0,254.14285714285714,1,Mature
1043.0,2,2,9,1,22,1,1,Premium Central,Unfurnished,Standard,8976918.0,260.75,3,Recent
3041.0,6,5,22,1,10,1,1,Developing Zone,Semi-Furnished,Good,14695793.0,276.45454545454544,3,Old
885.0,2,1,23,0,7,1,0,Premium Central,Semi-Furnished,Good,4232050.0,295.0,1,Old
796.0,3,2,11,1,18,1,1,Budget Zone,Semi-Furnished,Premium,5748335.0,159.2,3,Mature
1715.0,4,5,29,2,2,0,2,Family Zone,Semi-Furnished,Good,8680178.0,190.55555555555554,4,Old
2245.0,5,5,20,0,11,1,3,Family Zone,Semi-Furnished,Good,12593727.0,224.5,4,Mature
1484.0,4,5,5,1,15,1,1,Budget Zone,Fully Furnished,Good,8833898.0,164.88888888888889,3,Recent
1748.0,4,5,11,1,17,1,2,Budget Zone,Fully Furnished,Standard,8971694.0,194.22222222222223,4,Mature
491.0,1,1,29,0,3,1,1,Developing Zone,Semi-Furnished,Good,1800000.0,245.5,2,Old
1098.0,1,2,3,0,1,1,1,Premium Central,Unfurnished,Good,8188682.0,366.0,2,New
892.0,2,2,0,1,7,1,1,Family Zone,Semi-Furnished,Good,8681390.0,223.0,3,New
465.0,2,3,22,0,3,0,1,Premium Central,Fully Furnished,Standard,2123048.0,93.0,1,Old
1511.0,4,3,15,1,13,0,0,IT Hub,Semi-Furnished,Premium,10617282.0,215.85714285714286,1,Mature
450.0,1,1,8,2,23,1,3,Family Zone,Semi-Furnished,Luxury,7725863.0,225.0,6,Recent
762.0,1,1,16,1,7,1,2,IT Hub,Semi-Furnished,Standard,5982402.0,381.0,4,Mature
1171.0,3,3,6,2,11,1,1,Budget Zone,Unfurnished,Good,7995833.0,195.16666666666666,4,Recent
1018.0,2,2,13,1,6,0,2,Budget Zone,Semi-Furnished,Premium,6436840.0,254.5,3,Mature
1656.0,2,1,8,1,2,0,0,IT Hub,Semi-Furnished,Good,11247467.0,552.0,1,Recent
1609.0,3,2,20,1,17,0,2,IT Hub,Fully Furnished,Premium,12321075.0,321.8,3,Mature
1915.0,2,3,23,0,7,1,1,Developing Zone,Fully Furnished,Good,9860520.0,383.0,2,Old
1841.0,3,4,32,1,14,1,0,Family Zone,Fully Furnished,Luxury,9841582.0,263.0,2,Old
2043.0,5,5,2,1,17,1,2,Family Zone,Semi-Furnished,Luxury,14839592.0,204.3,4,New
1449.0,4,3,11,1,21,0,1,IT Hub,Semi-Furnished,Standard,9609989.0,207.0,2,Mature
1608.0,2,2,9,1,5,1,1,Family Zone,Semi-Furnished,Good,9409646.0,402.0,3,Recent
1716.0,3,4,20,0,14,1,1,Developing Zone,Fully Furnished,Good,10645296.0,245.14285714285714,2,Mature
1524.0,3,4,18,2,22,0,0,Developing Zone,Semi-Furnished,Standard,7183938.0,217.71428571428572,2,Mature
1243.0,4,3,30,0,12,1,0,Developing Zone,Fully Furnished,Good,5887324.0,177.57142857142858,1,Old
1277.0,2,2,32,2,1,1,1,Family Zone,Unfurnished,Luxury,8969278.0,319.25,4,Old
1025.0,2,2,27,2,7,0,1,IT Hub,Fully Furnished,Standard,5763035.0,256.25,3,Old
1669.0,4,5,6,2,20,0,0,Family Zone,Unfurnished,Good,10649625.0,185.44444444444446,2,Recent
1401.0,3,3,1,1,20,1,1,Developing Zone,Unfurnished,Premium,10493411.0,233.5,3,New
1105.0,3,2,31,0,8,1,1,Developing Zone,Semi-Furnished,Good,3280956.0,221.0,2,Old
1106.0,1,1,32,1,5,1,2,IT Hub,Unfurnished,Good,5569896.0,553.0,4,Old
